file_name,label_index,category_name
5995ae0b-23d2-11e8-a6a3-ec086b02610b.jpg,8,bobcat
5a1e4f99-23d2-11e8-a6a3-ec086b02610b.jpg,3,rabbit
5995ad47-23d2-11e8-a6a3-ec086b02610b.jpg,5,coyote
59104996-23d2-11e8-a6a3-ec086b02610b.jpg,6,raccoon
59751460-23d2-11e8-a6a3-ec086b02610b.jpg,0,deer
590234cb-23d2-11e8-a6a3-ec086b02610b.jpg,10,dog
58b82221-23d2-11e8-a6a3-ec086b02610b.jpg,11,opossum
59fc7d2c-23d2-11e8-a6a3-ec086b02610b.jpg,2,rodent
58fd7de6-23d2-11e8-a6a3-ec086b02610b.jpg,6,raccoon
59e5df2a-23d2-11e8-a6a3-ec086b02610b.jpg,2,rodent
5a0631ea-23d2-11e8-a6a3-ec086b02610b.jpg,0,deer
59b93873-23d2-11e8-a6a3-ec086b02610b.jpg,3,rabbit
59c803c8-23d2-11e8-a6a3-ec086b02610b.jpg,9,cat
59be3fff-23d2-11e8-a6a3-ec086b02610b.jpg,10,dog
595951bd-23d2-11e8-a6a3-ec086b02610b.jpg,3,rabbit
58b13253-23d2-11e8-a6a3-ec086b02610b.jpg,5,coyote
5a1b1569-23d2-11e8-a6a3-ec086b02610b.jpg,3,rabbit
5a07cc48-23d2-11e8-a6a3-ec086b02610b.jpg,11,opossum
59f2c2bf-23d2-11e8-a6a3-ec086b02610b.jpg,5,coyote
59f5fe1a-23d2-11e8-a6a3-ec086b02610b.jpg,0,deer
5897b1ab-23d2-11e8-a6a3-ec086b02610b.jpg,8,bobcat
5a24aa68-23d2-11e8-a6a3-ec086b02610b.jpg,3,rabbit
5a17dda5-23d2-11e8-a6a3-ec086b02610b.jpg,0,deer
58fd7b8a-23d2-11e8-a6a3-ec086b02610b.jpg,6,raccoon
593a5093-23d2-11e8-a6a3-ec086b02610b.jpg,6,raccoon
589e682e-23d2-11e8-a6a3-ec086b02610b.jpg,3,rabbit
598c5c0d-23d2-11e8-a6a3-ec086b02610b.jpg,8,bobcat
58eaca4d-23d2-11e8-a6a3-ec086b02610b.jpg,1,squirrel
5a2c8630-23d2-11e8-a6a3-ec086b02610b.jpg,6,raccoon
59baca0b-23d2-11e8-a6a3-ec086b02610b.jpg,3,rabbit
58fd7ce6-23d2-11e8-a6a3-ec086b02610b.jpg,3,rabbit
5883e97b-23d2-11e8-a6a3-ec086b02610b.jpg,11,opossum
59c17747-23d2-11e8-a6a3-ec086b02610b.jpg,11,opossum
59ccd174-23d2-11e8-a6a3-ec086b02610b.jpg,0,deer
59be4148-23d2-11e8-a6a3-ec086b02610b.jpg,11,opossum
597feccd-23d2-11e8-a6a3-ec086b02610b.jpg,3,rabbit
5883e75c-23d2-11e8-a6a3-ec086b02610b.jpg,5,coyote
59edf286-23d2-11e8-a6a3-ec086b02610b.jpg,0,deer
5906ef55-23d2-11e8-a6a3-ec086b02610b.jpg,8,bobcat
593d6771-23d2-11e8-a6a3-ec086b02610b.jpg,8,bobcat
590ebc38-23d2-11e8-a6a3-ec086b02610b.jpg,5,coyote
585f4ebe-23d2-11e8-a6a3-ec086b02610b.jpg,11,opossum
599d7db2-23d2-11e8-a6a3-ec086b02610b.jpg,3,rabbit
599fbd81-23d2-11e8-a6a3-ec086b02610b.jpg,11,opossum
5a02fba2-23d2-11e8-a6a3-ec086b02610b.jpg,11,opossum
59279ad4-23d2-11e8-a6a3-ec086b02610b.jpg,6,raccoon
5946b85d-23d2-11e8-a6a3-ec086b02610b.jpg,10,dog
5a1fe57e-23d2-11e8-a6a3-ec086b02610b.jpg,0,deer
59b48343-23d2-11e8-a6a3-ec086b02610b.jpg,7,skunk
5976a563-23d2-11e8-a6a3-ec086b02610b.jpg,0,deer
5a2c84ac-23d2-11e8-a6a3-ec086b02610b.jpg,11,opossum
